artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime
The Agonist,d6d9ec73-d0dd-4066-944c-20d4a6d6c7c7,Prisoners,127b850a-735c-4969-be41-cea1bcd3029e,You're Coming With Me,2d664849-9e1d-39dc-afe6-a6dd1fd30873,1606344045,2020-11-25 22:40:45
Jinjer,51b37017-859c-465e-8810-2d2dd41a401e,Cloud Factory (Re-Issue),,Outlander,1a68a1cf-9f7f-4a45-b7a7-3567eab05a55,1606343754,2020-11-25 22:35:54
Jinjer,51b37017-859c-465e-8810-2d2dd41a401e,King of Everything,2c9b8275-d352-4e10-949c-5df1629bc128,Dip a Sail,4eb9574d-9bcb-4e91-8664-f6e287a3b2cb,1606343429,2020-11-25 22:30:29
Scott Bradlee's Postmodern Jukebox,,The Essentials II,b02808a3-c21e-43bb-a7db-c09ef2edb3e3,Crazy Train,,1606327833,2020-11-25 18:10:33
Scott Bradlee's Postmodern Jukebox,,Sepia Is The New Orange,,Sex On Fire,,1606327467,2020-11-25 18:04:27
Scott Bradlee's Postmodern Jukebox,,Sepia Is The New Orange,,Somewhere Only We Know,,1606327136,2020-11-25 17:58:56
Scott Bradlee's Postmodern Jukebox,,Jazz Age Thirst Trap,0d8c5ef1-8dfb-4a94-b5d3-d9cfbf6474eb,Chandelier,,1606326799,2020-11-25 17:53:19
Scott Bradlee's Postmodern Jukebox,,"So, You Think You Can Sing? Vol. 5 (Official PMJ Karaoke Tracks)",47f2231f-4954-4529-8c0c-8efd698c885e,Welcome to the Black Parade - Karaoke Version,,1606326497,2020-11-25 17:48:17
Scott Bradlee's Postmodern Jukebox,,"BACK When They Called It Music: The '90s, Vol. 1",,Don't Look Back in Anger,,1606326146,2020-11-25 17:42:26
Scott Bradlee's Postmodern Jukebox,,"BACK When They Called It Music: The '90s, Vol. 1",,Nothing Else Matters,,1606325836,2020-11-25 17:37:16
Scott Bradlee's Postmodern Jukebox,,33 Resolutions Per Minute,b25e930f-3372-473a-a233-ed4bca82cef3,Bizarre Love Triangle,,1606325604,2020-11-25 17:33:24
Scott Bradlee's Postmodern Jukebox,,33 Resolutions Per Minute,b25e930f-3372-473a-a233-ed4bca82cef3,Mr Brightside,,1606325327,2020-11-25 17:28:47
Scott Bradlee's Postmodern Jukebox,,OK Crooner,,99 Luftballons,,1606325055,2020-11-25 17:24:15
Scott Bradlee's Postmodern Jukebox,,OK Crooner,,Last Nite,,1606324795,2020-11-25 17:19:55
Scott Bradlee's Postmodern Jukebox,,Squad Goals,95cd981b-ace8-42ef-9435-9bc958e68f3b,Roxanne,,1606324460,2020-11-25 17:14:20
The Oh Hellos,,Like The Dawn (David K. Radio Mix),,Like The Dawn - David K. Radio Mix,,1606324036,2020-11-25 17:07:16
Benjamin Francis Leftwich,b9e82c61-c1ec-4b42-9233-ca3567d2f2da,A Million Miles Out,7047a969-0911-430b-ada0-5760334843c5,Atlas Hands,291e58bf-bb24-3bfa-81d5-ea87825d3cd9,1606323864,2020-11-25 17:04:24
Faul & Wad Ad,,Changes,12aa2766-1325-4ff4-bebf-3ac036b19846,Changes - Original Mix,,1606322990,2020-11-25 16:49:50
Milky Chance,6d230d98-fb8d-4421-a6e8-daca4e55d53e,Stolen Dance,64767ddd-0c0c-40e3-bd9d-1f28c83f2a67,Stolen Dance,033e3cbd-7bff-4108-b097-6c7ce0bb8f68,1606322639,2020-11-25 16:43:59
Laura Veirs,8951c87f-f730-4247-b442-52ed14ad6a97,July Flame,743a447f-21df-4e1d-b230-4b6b814510dd,July Flame,355c0080-5654-3d7a-aa34-974ece0c6062,1606322413,2020-11-25 16:40:13
Eluveitie,8000598a-5edb-401c-8e6d-36b167feaf38,Ategnatos,45a8336a-9538-4124-92f3-090352dc146b,Ategnatos,2d180a18-101d-46cb-91ec-426069e0bd99,1606322070,2020-11-25 16:34:30
Eluveitie,8000598a-5edb-401c-8e6d-36b167feaf38,Helvetios,2ba162ca-47e5-431b-b5a7-260740850cdf,A Rose For Epona,07a087a3-ab23-44fe-a669-fa3d05b9e98a,1606321705,2020-11-25 16:28:25
Eluveitie,8000598a-5edb-401c-8e6d-36b167feaf38,Ategnatos,45a8336a-9538-4124-92f3-090352dc146b,Ambiramus,1c414c9c-2cdb-4d92-9c66-1a0fa42bcf39,1606321529,2020-11-25 16:25:29
Eluveitie,8000598a-5edb-401c-8e6d-36b167feaf38,Slania,18e666de-0cb9-4840-a78c-7f5a25812686,Inis Mona,032dcdba-a46d-3cd8-8b7a-e0b86bff2ce5,1606321279,2020-11-25 16:21:19
Eluveitie,8000598a-5edb-401c-8e6d-36b167feaf38,Origins,147ae89c-9dac-4254-ac82-c1ef3dc0ef2c,The Call of the Mountains,0fe9c686-bf80-4a21-9586-03556c30a044,1606321026,2020-11-25 16:17:06
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,Beyond,157f14df-329a-4fef-ba99-fcaebfe6acac,The Unknowing,160be196-f44d-4858-a07a-3e5cdbaffad8,1606320517,2020-11-25 16:08:37
Unleash the Archers,a7c18d09-2197-4bff-98f2-cd87923be240,Demons of the AstroWaste,495014c5-bb8f-48e7-b0f3-c4166403a50c,General of the Dark Army,2f2a32e3-4c57-34fd-8e15-0ed1d059969b,1606320049,2020-11-25 16:00:49
Arch Enemy,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,War Eternal,3e399913-ad17-4117-9e5a-636d525ab50c,No More Regrets,5ebadea9-1f0b-4f33-8b02-18425808fc12,1606319421,2020-11-25 15:50:21
Children of Bodom,,Hexed (Deluxe Version),,This Road,,1606319055,2020-11-25 15:44:15
deadmau5,4a00ec9d-c635-463a-8cd4-eb61725f0c60,W:/2016ALBUM/,054600b2-60cc-4c2c-9b0c-bac7de920b17,4ware,20bf4425-aa64-45c9-b4ed-37eb3c043a57,1606264555,2020-11-25 00:35:55
Monolink,,Father Ocean,,Father Ocean - Ben Böhmer Remix Edit,,1606264249,2020-11-25 00:30:49
